date,address,subArea,area,room,sqm,floor,objectType,constructionYear,listPrice,priceUp,soldPrice,rent,broker,distanceToMetro,metro
2014-05-26,Bäckaskiftsvägen 72,Stureby,GronHagsatra,1,18,2,Lägenhet,1950,1000000,320000,1320000,1508,Notar,263.71311346387535,Stureby
2014-05-22,Sågverksgatan 100,Stureby,GronHagsatra,2,46,3,Lägenhet,1946,1495000,170000,1665000,3282,Fastighetsbyrån,898.293500898964,Stureby
2014-05-22,Bjulevägen 61,Stureby,GronHagsatra,2,48,3,Lägenhet,1946,1700000,0,1700000,3249,HusmanHagberg,840.6943606417909,Stureby
2014-05-21,Bjulevägen 26C,Stureby,GronHagsatra,1,50,null,Lägenhet,1949,1495000,85000,1580000,3547,Erik Olsson Fastighetsförmedling,1061.8357919608422,Stureby
2014-05-21,Bjulevägen 26C,Stureby,GronHagsatra,2,50,null,Lägenhet,1949,1495000,85000,1580000,3547,Erik Olsson Fastighetsförmedling,1061.8357919608422,Stureby
2014-05-16,Götaforsvägen 32,Stureby,GronHagsatra,2,54.5,1,Lägenhet,null,1750000,-50000,1700000,3245,Länsförsäkringar Fastighetsförmedling,411.2137447344949,Bandhagen
2014-05-09,Skönviksvägen 323,Stureby,GronHagsatra,2,57,3,Lägenhet,1952,1800000,80000,1880000,3338,Notar,236.4460662723146,Stureby
2014-05-07,Tanneforsvägen 15,Stureby,GronHagsatra,4,73,null,Villa,1938,5150000,900000,6050000,null,Svenska Mäklarhuset,326.13849375373513,Stureby
2014-05-06,Skönviksvägen 280,Stureby,GronHagsatra,2,54,1,Lägenhet,1958,1795000,-90000,1705000,2805,Länsförsäkringar Fastighetsförmedling,289.90217773063364,Stureby
2014-05-06,Tussmötevägen 207B,Stureby,GronHagsatra,4,109,null,Lägenhet,2014,4575000,-325000,4250000,4318,Bjurfors,386.17267041097256,Svedmyra
2014-05-01,Sågverksgatan 110,Stureby,GronHagsatra,2,42,1,Lägenhet,1946,1600000,250000,1850000,2933,Notar,957.2773027248589,Stureby
2014-04-30,Skönviksvägen 284,Stureby,GronHagsatra,4,102,3,Lägenhet,null,3995000,0,3995000,3872,Fastighetsbyrån,306.1443848639519,Bandhagen
2014-04-29,Skönviksvägen 287,Stureby,GronHagsatra,2,54,1,Lägenhet,1952,1795000,155000,1950000,3046,Länsförsäkringar Fastighetsförmedling,220.15325924129098,Bandhagen
2014-04-27,Östrandsvägen 52,Stureby,GronHagsatra,3.5,74,2,Lägenhet,1950,2195000,255000,2450000,3736,SkandiaMäklarna,1099.9383985349743,Stureby
2014-04-16,Bäckaskiftsvägen 19,Stureby,GronHagsatra,2,46,7,Lägenhet,1951,1875000,0,1875000,1775,Notar,279.9902801031771,Stureby
2014-04-16,Götaforsvägen 32,Stureby,GronHagsatra,2,44.5,null,Lägenhet,null,1695000,205000,1900000,2769,Fastighetsbyrån,411.2137447344949,Bandhagen
2014-04-15,Tussmötevägen 207F,Stureby,GronHagsatra,4,106,null,Lägenhet,2014,3975000,25000,4000000,4125,Bjurfors,398.09955559834526,Svedmyra
2014-04-12,Tussmötevägen 207C,Stureby,GronHagsatra,4,115,null,Lägenhet,2014,4150000,30000,4180000,4514,Bjurfors,389.3068607778412,Svedmyra
2014-04-11,Tussmötevägen 207D,Stureby,GronHagsatra,4,115,null,Lägenhet,2014,4150000,0,4150000,4514,Bjurfors,392.50668707406714,Svedmyra
2014-04-04,Skönviksvägen 315,Stureby,GronHagsatra,3,69,3,Lägenhet,1952,2250000,160000,2410000,3988,Notar,291.97878067154153,Bandhagen
2014-04-03,Götaforsvägen 34,Stureby,GronHagsatra,3,89.5,2,Lägenhet,1952,2395000,905000,3300000,4985,Svenska Mäklarhuset,424.7993119865975,Bandhagen
2014-03-31,Bäckaskiftsvägen 50,Stureby,GronHagsatra,1,42,1,Lägenhet,null,1525000,0,1525000,2258,Svensk Fastighetsförmedling,327.9187668539297,Bandhagen
2014-03-27,Skönviksvägen 333,Stureby,GronHagsatra,2,42.5,3,Lägenhet,1952,1595000,235000,1830000,2754,Fantastic Frank Fastighetsmäkleri,177.70356414785502,Stureby
2014-03-15,Fiskebyvägen 2,Stureby,GronHagsatra,7,139,null,Villa,1964,6750000,700000,7450000,null,Bjurfors,594.7360170971153,Stureby
